,Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,year,City_Name,Crime_Description,Population,Crime Rate
11139,11141,11-04-2021 02:00,04-09-2021 04:00,09-04-2021 20:10,8,195,11,13,F,1,Violent Crime,16,No,,2021,Hyderabad,IDENTITY THEFT,11068877,26.0
11140,11142,11-04-2021 13:00,04-09-2021 05:00,10-04-2021 04:58,16,449,2,20,M,4,Other Crime,4,No,,2021,Meerut,BURGLARY,1835403,21.5
11141,11143,10-04-2021 06:00,04-09-2021 06:00,09-04-2021 06:29,21,414,20,63,M,6,Violent Crime,11,No,,2021,Pune,VEHICLE - STOLEN,7345848,30.1
11142,11144,12-04-2021 03:00,04-09-2021 07:00,10-04-2021 02:06,20,392,17,63,F,4,Other Crime,17,Yes,03-05-2021 03:00,2021,Patna,SHOPLIFTING,2633243,26.4
11143,11145,10-04-2021 21:00,04-09-2021 08:00,09-04-2021 12:46,5,501,13,11,F,5,Other Crime,1,No,,2021,Delhi,KIDNAPPING,33807403,16.0
11144,11146,11-04-2021 06:00,04-09-2021 09:00,09-04-2021 20:49,18,536,8,43,F,4,Fire Accident,8,No,,2021,Nagpur,FIREARM OFFENSE,3106340,33.9
11145,11147,10-04-2021 23:00,04-09-2021 10:00,09-04-2021 10:54,21,519,9,20,M,4,Other Crime,7,No,,2021,Pune,FRAUD,7345848,30.1
11146,11148,11-04-2021 16:00,04-09-2021 11:00,09-04-2021 14:36,4,164,5,14,M,4,Violent Crime,10,Yes,27-04-2021 16:00,2021,Chennai,DOMESTIC VIOLENCE,12053697,20.7
11147,11149,10-04-2021 13:00,04-09-2021 12:00,09-04-2021 23:01,4,266,18,39,F,3,Traffic Fatality,10,Yes,09-05-2021 13:00,2021,Chennai,TRAFFIC VIOLATION,12053697,20.7
11148,11150,10-04-2021 14:00,04-09-2021 13:00,10-04-2021 01:39,21,576,10,27,F,6,Other Crime,8,Yes,07-09-2022 14:00,2021,Pune,HOMICIDE,7345848,30.1
11149,11151,12-04-2021 05:00,04-09-2021 14:00,10-04-2021 09:04,12,417,17,10,F,1,Other Crime,6,No,,2021,Kanpur,SHOPLIFTING,3289142,33.8
11150,11152,12-04-2021 05:00,04-09-2021 15:00,09-04-2021 17:05,12,247,19,59,F,5,Other Crime,13,No,,2021,Kanpur,VANDALISM,3289142,33.8
11151,11153,12-04-2021 07:00,04-09-2021 16:00,10-04-2021 10:48,0,488,18,64,F,2,Traffic Fatality,19,No,,2021,Agra,TRAFFIC VIOLATION,2422342,31.5
11152,11154,12-04-2021 09:00,04-09-2021 17:00,10-04-2021 14:22,1,197,6,79,M,0,Other Crime,12,No,,2021,Ahmedabad,DRUG OFFENSE,8854444,20.5
11153,11155,11-04-2021 12:00,04-09-2021 18:00,10-04-2021 17:05,2,500,1,73,F,6,Violent Crime,3,Yes,22-06-2021 12:00,2021,Bangalore,ASSAULT,14008262,25.6
11154,11156,11-04-2021 03:00,04-09-2021 19:00,10-04-2021 12:22,3,316,0,24,F,2,Fire Accident,6,No,,2021,Bhopal,ARSON,2624865,26.3
11155,11157,11-04-2021 20:00,04-09-2021 20:00,09-04-2021 21:20,13,290,14,64,M,0,Other Crime,9,Yes,23-04-2021 20:00,2021,Kolkata,PUBLIC INTOXICATION,155707786,1.6
11156,11158,10-04-2021 23:00,04-09-2021 21:00,09-04-2021 23:26,2,105,20,71,F,5,Violent Crime,1,Yes,21-06-2021 23:00,2021,Bangalore,VEHICLE - STOLEN,14008262,25.6
11157,11159,11-04-2021 16:00,04-09-2021 22:00,10-04-2021 12:12,5,383,10,58,F,5,Other Crime,10,Yes,10-01-2022 16:00,2021,Delhi,HOMICIDE,33807403,16.0
11158,11160,12-04-2021 17:00,04-09-2021 23:00,10-04-2021 20:59,21,557,5,47,F,1,Violent Crime,9,Yes,20-04-2021 17:00,2021,Pune,DOMESTIC VIOLENCE,7345848,30.1
11159,11161,12-04-2021 10:00,04-10-2021 00:00,10-04-2021 05:34,5,513,16,32,F,3,Violent Crime,14,No,,2021,Delhi,SEXUAL ASSAULT,33807403,16.0
11160,11162,12-04-2021 22:00,04-10-2021 01:00,10-04-2021 02:32,17,508,9,13,F,0,Other Crime,15,Yes,15-05-2021 22:00,2021,Mumbai,FRAUD,21673149,20.4
11161,11163,12-04-2021 07:00,04-10-2021 02:00,10-04-2021 11:23,21,181,20,26,F,3,Violent Crime,2,No,,2021,Pune,VEHICLE - STOLEN,7345848,30.1
11162,11164,11-04-2021 10:00,04-10-2021 03:00,10-04-2021 06:22,5,560,1,18,M,0,Violent Crime,3,No,,2021,Delhi,ASSAULT,33807403,16.0
11163,11165,11-04-2021 04:00,04-10-2021 04:00,10-04-2021 19:03,3,170,11,72,F,5,Violent Crime,3,No,,2021,Bhopal,IDENTITY THEFT,2624865,26.3
11164,11166,11-04-2021 05:00,04-10-2021 05:00,10-04-2021 11:03,13,436,7,47,F,3,Other Crime,1,Yes,03-06-2021 05:00,2021,Kolkata,EXTORTION,155707786,1.6
11165,11167,11-04-2021 09:00,04-10-2021 06:00,10-04-2021 06:44,10,398,9,17,F,0,Other Crime,8,Yes,13-05-2021 09:00,2021,Jaipur,FRAUD,4308510,34.3
11166,11168,12-04-2021 09:00,04-10-2021 07:00,10-04-2021 21:15,2,389,1,69,F,5,Violent Crime,6,Yes,01-06-2021 09:00,2021,Bangalore,ASSAULT,14008262,25.6
11167,11169,11-04-2021 07:00,04-10-2021 08:00,10-04-2021 23:04,28,572,18,61,F,3,Traffic Fatality,14,Yes,04-05-2021 07:00,2021,Visakhapatnam,TRAFFIC VIOLATION,2385110,30.5
11168,11170,12-04-2021 08:00,04-10-2021 09:00,11-04-2021 07:41,14,117,17,70,F,0,Other Crime,11,Yes,09-05-2021 08:00,2021,Lucknow,SHOPLIFTING,4038214,36.1
11169,11171,11-04-2021 19:00,04-10-2021 10:00,10-04-2021 13:42,13,234,11,14,F,6,Violent Crime,15,No,,2021,Kolkata,IDENTITY THEFT,155707786,1.6
11170,11172,10-04-2021 12:00,04-10-2021 11:00,10-04-2021 19:57,21,382,19,40,F,1,Other Crime,15,Yes,18-05-2021 12:00,2021,Pune,VANDALISM,7345848,30.1
11171,11173,10-04-2021 17:00,04-10-2021 12:00,11-04-2021 02:13,1,390,19,68,M,4,Other Crime,4,Yes,09-05-2021 17:00,2021,Ahmedabad,VANDALISM,8854444,20.5
11172,11174,12-04-2021 06:00,04-10-2021 13:00,11-04-2021 04:30,24,484,17,71,F,0,Other Crime,13,No,,2021,Surat,SHOPLIFTING,8330528,13.3
11173,11175,11-04-2021 05:00,04-10-2021 14:00,10-04-2021 16:57,2,393,20,76,F,2,Violent Crime,9,No,,2021,Bangalore,VEHICLE - STOLEN,14008262,25.6
11174,11176,10-04-2021 21:00,04-10-2021 15:00,11-04-2021 12:19,24,570,1,37,M,2,Violent Crime,16,Yes,14-05-2021 21:00,2021,Surat,ASSAULT,8330528,13.3
11175,11177,13-04-2021 10:00,04-10-2021 16:00,10-04-2021 16:30,8,407,11,18,F,4,Violent Crime,2,No,,2021,Hyderabad,IDENTITY THEFT,11068877,26.0
11176,11178,10-04-2021 20:00,04-10-2021 17:00,10-04-2021 23:59,8,549,20,61,F,2,Violent Crime,19,No,,2021,Hyderabad,VEHICLE - STOLEN,11068877,26.0
11177,11179,12-04-2021 16:00,04-10-2021 18:00,11-04-2021 06:36,25,291,12,79,M,5,Other Crime,3,Yes,30-06-2021 16:00,2021,Thane,ILLEGAL POSSESSION,1261517,56.0
11178,11180,13-04-2021 15:00,04-10-2021 19:00,10-04-2021 19:06,5,333,18,18,F,0,Traffic Fatality,16,Yes,14-04-2021 15:00,2021,Delhi,TRAFFIC VIOLATION,33807403,16.0
11179,11181,13-04-2021 07:00,04-10-2021 20:00,11-04-2021 05:14,10,434,10,54,F,4,Other Crime,4,Yes,13-10-2021 07:00,2021,Jaipur,HOMICIDE,4308510,34.3
11180,11182,13-04-2021 15:00,04-10-2021 21:00,10-04-2021 21:18,0,418,1,32,F,6,Violent Crime,9,No,,2021,Agra,ASSAULT,2422342,31.5
11181,11183,11-04-2021 20:00,04-10-2021 22:00,11-04-2021 19:36,4,579,1,37,M,3,Violent Crime,16,Yes,03-07-2021 20:00,2021,Chennai,ASSAULT,12053697,20.7
11182,11184,13-04-2021 14:00,04-10-2021 23:00,11-04-2021 04:50,14,533,15,24,M,1,Violent Crime,11,Yes,28-08-2021 14:00,2021,Lucknow,ROBBERY,4038214,36.1
11183,11185,11-04-2021 04:00,04-11-2021 00:00,11-04-2021 15:10,3,141,17,76,F,6,Other Crime,19,Yes,16-05-2021 04:00,2021,Bhopal,SHOPLIFTING,2624865,26.3
11184,11186,12-04-2021 14:00,04-11-2021 01:00,11-04-2021 05:47,17,253,1,28,F,5,Violent Crime,15,Yes,25-06-2021 14:00,2021,Mumbai,ASSAULT,21673149,20.4
11185,11187,11-04-2021 13:00,04-11-2021 02:00,11-04-2021 02:25,28,208,9,35,F,4,Other Crime,10,Yes,29-04-2021 13:00,2021,Visakhapatnam,FRAUD,2385110,30.5
11186,11188,12-04-2021 17:00,04-11-2021 03:00,11-04-2021 16:03,8,193,16,19,F,2,Violent Crime,1,No,,2021,Hyderabad,SEXUAL ASSAULT,11068877,26.0
11187,11189,11-04-2021 10:00,04-11-2021 04:00,11-04-2021 15:54,5,108,17,26,F,4,Other Crime,2,Yes,22-04-2021 10:00,2021,Delhi,SHOPLIFTING,33807403,16.0
11188,11190,13-04-2021 09:00,04-11-2021 05:00,11-04-2021 10:57,4,131,6,68,F,3,Other Crime,7,Yes,20-06-2021 09:00,2021,Chennai,DRUG OFFENSE,12053697,20.7
11189,11191,11-04-2021 20:00,04-11-2021 06:00,12-04-2021 05:31,21,589,15,14,F,5,Violent Crime,14,Yes,11-09-2021 20:00,2021,Pune,ROBBERY,7345848,30.1
11190,11192,11-04-2021 21:00,04-11-2021 07:00,11-04-2021 22:52,17,342,2,77,M,6,Other Crime,14,No,,2021,Mumbai,BURGLARY,21673149,20.4
11191,11193,11-04-2021 13:00,04-11-2021 08:00,11-04-2021 08:53,9,400,20,39,F,3,Violent Crime,11,No,,2021,Indore,VEHICLE - STOLEN,3393380,20.6
11192,11194,13-04-2021 16:00,04-11-2021 09:00,11-04-2021 15:12,2,460,1,25,F,1,Violent Crime,13,No,,2021,Bangalore,ASSAULT,14008262,25.6
11193,11195,13-04-2021 13:00,04-11-2021 10:00,11-04-2021 16:33,17,440,4,12,F,4,Other Crime,19,No,,2021,Mumbai,CYBERCRIME,21673149,20.4
11194,11196,14-04-2021 04:00,04-11-2021 11:00,12-04-2021 00:38,5,544,13,71,F,0,Other Crime,15,Yes,15-05-2021 04:00,2021,Delhi,KIDNAPPING,33807403,16.0
11195,11197,11-04-2021 13:00,04-11-2021 12:00,11-04-2021 19:02,12,388,3,53,F,4,Other Crime,10,No,,2021,Kanpur,COUNTERFEITING,3289142,33.8
11196,11198,12-04-2021 00:00,04-11-2021 13:00,11-04-2021 20:08,8,562,4,50,M,0,Other Crime,4,No,,2021,Hyderabad,CYBERCRIME,11068877,26.0
11197,11199,13-04-2021 01:00,04-11-2021 14:00,12-04-2021 05:34,12,331,20,37,F,2,Violent Crime,14,Yes,02-06-2021 01:00,2021,Kanpur,VEHICLE - STOLEN,3289142,33.8
11198,11200,12-04-2021 13:00,04-11-2021 15:00,12-04-2021 14:16,28,550,17,65,F,2,Other Crime,1,No,,2021,Visakhapatnam,SHOPLIFTING,2385110,30.5
11199,11201,12-04-2021 06:00,04-11-2021 16:00,12-04-2021 14:37,12,341,8,65,F,4,Fire Accident,16,Yes,14-05-2021 06:00,2021,Kanpur,FIREARM OFFENSE,3289142,33.8
11200,11202,14-04-2021 09:00,04-11-2021 17:00,11-04-2021 17:16,14,177,2,60,F,5,Other Crime,5,Yes,04-06-2021 09:00,2021,Lucknow,BURGLARY,4038214,36.1
11201,11203,12-04-2021 18:00,04-11-2021 18:00,12-04-2021 08:58,18,179,17,55,F,1,Other Crime,2,Yes,27-06-2021 18:00,2021,Nagpur,SHOPLIFTING,3106340,33.9
11202,11204,12-04-2021 20:00,04-11-2021 19:00,12-04-2021 07:22,26,287,15,14,M,3,Violent Crime,7,No,,2021,Varanasi,ROBBERY,1789047,19.8
11203,11205,13-04-2021 01:00,04-11-2021 20:00,12-04-2021 14:25,5,386,3,48,F,0,Other Crime,7,No,,2021,Delhi,COUNTERFEITING,33807403,16.0
11204,11206,12-04-2021 21:00,04-11-2021 21:00,12-04-2021 02:51,4,390,6,41,M,0,Other Crime,18,Yes,15-05-2021 21:00,2021,Chennai,DRUG OFFENSE,12053697,20.7
11205,11207,13-04-2021 21:00,04-11-2021 22:00,12-04-2021 05:38,5,507,19,65,M,1,Other Crime,6,Yes,23-06-2021 21:00,2021,Delhi,VANDALISM,33807403,16.0
11206,11208,14-04-2021 22:00,04-11-2021 23:00,12-04-2021 02:56,0,169,9,23,F,5,Other Crime,14,No,,2021,Agra,FRAUD,2422342,31.5
11207,11209,14-04-2021 01:00,04-12-2021 00:00,12-04-2021 04:18,9,171,20,19,F,6,Violent Crime,14,No,,2021,Indore,VEHICLE - STOLEN,3393380,20.6
11208,11210,12-04-2021 23:00,04-12-2021 01:00,12-04-2021 04:53,9,563,11,53,F,0,Violent Crime,18,No,,2021,Indore,IDENTITY THEFT,3393380,20.6
11209,11211,14-04-2021 06:00,04-12-2021 02:00,12-04-2021 05:32,9,550,12,76,F,6,Other Crime,9,No,,2021,Indore,ILLEGAL POSSESSION,3393380,20.6
11210,11212,14-04-2021 23:00,04-12-2021 03:00,12-04-2021 08:53,5,424,17,77,M,5,Other Crime,18,No,,2021,Delhi,SHOPLIFTING,33807403,16.0
11211,11213,14-04-2021 17:00,04-12-2021 04:00,13-04-2021 03:13,4,401,7,45,M,5,Other Crime,13,No,,2021,Chennai,EXTORTION,12053697,20.7
11212,11214,14-04-2021 11:00,04-12-2021 05:00,13-04-2021 03:14,5,246,2,67,F,1,Other Crime,15,No,,2021,Delhi,BURGLARY,33807403,16.0
11213,11215,13-04-2021 11:00,04-12-2021 06:00,12-04-2021 15:56,17,128,12,36,F,3,Other Crime,10,No,,2021,Mumbai,ILLEGAL POSSESSION,21673149,20.4
11214,11216,12-04-2021 18:00,04-12-2021 07:00,12-04-2021 10:01,27,345,17,39,M,3,Other Crime,7,Yes,08-06-2021 18:00,2021,Vasai,SHOPLIFTING,1423890,25.4
11215,11217,13-04-2021 09:00,04-12-2021 08:00,13-04-2021 07:23,5,499,2,61,F,6,Other Crime,6,Yes,16-07-2021 09:00,2021,Delhi,BURGLARY,33807403,16.0
11216,11218,12-04-2021 11:00,04-12-2021 09:00,12-04-2021 22:56,4,297,17,13,F,0,Other Crime,17,No,,2021,Chennai,SHOPLIFTING,12053697,20.7
11217,11219,15-04-2021 07:00,04-12-2021 10:00,12-04-2021 21:28,4,341,6,10,F,1,Other Crime,4,No,,2021,Chennai,DRUG OFFENSE,12053697,20.7
11218,11220,13-04-2021 00:00,04-12-2021 11:00,12-04-2021 14:59,23,461,20,15,F,6,Violent Crime,1,Yes,27-06-2021 00:00,2021,Srinagar,VEHICLE - STOLEN,1737502,21.4
11219,11221,12-04-2021 13:00,04-12-2021 12:00,12-04-2021 16:37,14,270,14,45,F,2,Other Crime,1,No,,2021,Lucknow,PUBLIC INTOXICATION,4038214,36.1
11220,11222,12-04-2021 21:00,04-12-2021 13:00,12-04-2021 17:40,11,500,7,40,F,5,Other Crime,3,Yes,27-06-2021 21:00,2021,Kalyan,EXTORTION,1770000,20.1
11221,11223,14-04-2021 20:00,04-12-2021 14:00,13-04-2021 10:51,27,408,2,76,F,6,Other Crime,9,Yes,29-08-2021 20:00,2021,Vasai,BURGLARY,1423890,25.4
11222,11224,14-04-2021 16:00,04-12-2021 15:00,12-04-2021 21:38,18,124,20,37,M,5,Violent Crime,11,No,,2021,Nagpur,VEHICLE - STOLEN,3106340,33.9
11223,11225,14-04-2021 12:00,04-12-2021 16:00,13-04-2021 12:12,10,220,2,72,M,1,Other Crime,7,No,,2021,Jaipur,BURGLARY,4308510,34.3
11224,11226,14-04-2021 10:00,04-12-2021 17:00,12-04-2021 23:51,2,564,2,22,M,0,Other Crime,2,Yes,20-08-2021 10:00,2021,Bangalore,BURGLARY,14008262,25.6
11225,11227,12-04-2021 21:00,04-12-2021 18:00,13-04-2021 04:57,13,412,4,51,F,4,Other Crime,4,No,,2021,Kolkata,CYBERCRIME,155707786,1.6
11226,11228,14-04-2021 18:00,04-12-2021 19:00,13-04-2021 14:24,21,429,4,59,F,3,Other Crime,18,No,,2021,Pune,CYBERCRIME,7345848,30.1
11227,11229,15-04-2021 15:00,04-12-2021 20:00,12-04-2021 22:39,22,241,4,28,M,0,Other Crime,3,No,,2021,Rajkot,CYBERCRIME,2096981,15.3
11228,11230,15-04-2021 16:00,04-12-2021 21:00,13-04-2021 09:34,8,457,19,34,F,4,Other Crime,19,No,,2021,Hyderabad,VANDALISM,11068877,26.0
11229,11231,13-04-2021 05:00,04-12-2021 22:00,13-04-2021 20:45,17,575,7,27,F,3,Other Crime,9,Yes,29-06-2021 05:00,2021,Mumbai,EXTORTION,21673149,20.4
11230,11232,13-04-2021 20:00,04-12-2021 23:00,13-04-2021 16:57,5,174,4,13,F,1,Other Crime,3,Yes,27-06-2021 20:00,2021,Delhi,CYBERCRIME,33807403,16.0
11231,11233,14-04-2021 14:00,04-13-2021 00:00,13-04-2021 19:45,25,172,9,26,M,5,Other Crime,18,No,,2021,Thane,FRAUD,1261517,56.0
11232,11234,14-04-2021 02:00,04-13-2021 01:00,13-04-2021 19:34,9,319,20,65,F,4,Violent Crime,8,Yes,08-05-2021 02:00,2021,Indore,VEHICLE - STOLEN,3393380,20.6
11233,11235,15-04-2021 16:00,04-13-2021 02:00,14-04-2021 00:27,5,370,7,58,F,6,Other Crime,6,No,,2021,Delhi,EXTORTION,33807403,16.0
11234,11236,15-04-2021 00:00,04-13-2021 03:00,13-04-2021 10:58,2,343,5,41,F,6,Violent Crime,16,No,,2021,Bangalore,DOMESTIC VIOLENCE,14008262,25.6
11235,11237,14-04-2021 00:00,04-13-2021 04:00,13-04-2021 15:55,13,336,18,34,F,4,Traffic Fatality,8,No,,2021,Kolkata,TRAFFIC VIOLATION,155707786,1.6
11236,11238,13-04-2021 19:00,04-13-2021 05:00,13-04-2021 22:17,4,162,1,76,F,5,Violent Crime,6,Yes,26-05-2021 19:00,2021,Chennai,ASSAULT,12053697,20.7
11237,11239,14-04-2021 14:00,04-13-2021 06:00,13-04-2021 12:55,8,595,6,58,F,4,Other Crime,10,No,,2021,Hyderabad,DRUG OFFENSE,11068877,26.0
11238,11240,14-04-2021 08:00,04-13-2021 07:00,14-04-2021 05:32,5,266,9,36,M,4,Other Crime,5,No,,2021,Delhi,FRAUD,33807403,16.0
11239,11241,14-04-2021 12:00,04-13-2021 08:00,13-04-2021 12:09,20,194,6,69,F,1,Other Crime,11,Yes,01-07-2021 12:00,2021,Patna,DRUG OFFENSE,2633243,26.4
11240,11242,15-04-2021 06:00,04-13-2021 09:00,14-04-2021 02:42,7,489,7,77,M,4,Other Crime,16,No,,2021,Ghaziabad,EXTORTION,1055190,66.7
11241,11243,13-04-2021 23:00,04-13-2021 10:00,14-04-2021 05:57,4,525,18,33,M,2,Traffic Fatality,19,No,,2021,Chennai,TRAFFIC VIOLATION,12053697,20.7
11242,11244,14-04-2021 13:00,04-13-2021 11:00,14-04-2021 07:45,4,590,0,37,F,5,Fire Accident,17,No,,2021,Chennai,ARSON,12053697,20.7
11243,11245,14-04-2021 14:00,04-13-2021 12:00,13-04-2021 17:43,1,179,14,46,F,3,Other Crime,12,Yes,05-05-2021 14:00,2021,Ahmedabad,PUBLIC INTOXICATION,8854444,20.5
11244,11246,15-04-2021 04:00,04-13-2021 13:00,13-04-2021 20:56,17,528,16,61,F,6,Violent Crime,5,Yes,16-07-2022 04:00,2021,Mumbai,SEXUAL ASSAULT,21673149,20.4
11245,11247,14-04-2021 08:00,04-13-2021 14:00,14-04-2021 01:32,4,337,9,68,F,1,Other Crime,17,No,,2021,Chennai,FRAUD,12053697,20.7
11246,11248,15-04-2021 11:00,04-13-2021 15:00,14-04-2021 12:51,14,588,17,53,F,2,Other Crime,5,Yes,31-05-2021 11:00,2021,Lucknow,SHOPLIFTING,4038214,36.1
11247,11249,14-04-2021 02:00,04-13-2021 16:00,13-04-2021 17:24,10,251,0,63,F,1,Fire Accident,11,Yes,08-05-2021 02:00,2021,Jaipur,ARSON,4308510,34.3
11248,11250,14-04-2021 21:00,04-13-2021 17:00,14-04-2021 12:41,24,285,18,11,F,3,Traffic Fatality,3,No,,2021,Surat,TRAFFIC VIOLATION,8330528,13.3
11249,11251,15-04-2021 12:00,04-13-2021 18:00,14-04-2021 11:49,21,483,2,68,F,2,Other Crime,5,No,,2021,Pune,BURGLARY,7345848,30.1
11250,11252,15-04-2021 10:00,04-13-2021 19:00,14-04-2021 17:20,2,520,19,58,F,0,Other Crime,7,Yes,29-06-2021 10:00,2021,Bangalore,VANDALISM,14008262,25.6
11251,11253,16-04-2021 15:00,04-13-2021 20:00,14-04-2021 10:48,23,138,16,63,M,6,Violent Crime,13,Yes,19-05-2022 15:00,2021,Srinagar,SEXUAL ASSAULT,1737502,21.4
11252,11254,14-04-2021 23:00,04-13-2021 21:00,14-04-2021 14:39,17,526,16,23,M,4,Violent Crime,3,No,,2021,Mumbai,SEXUAL ASSAULT,21673149,20.4
11253,11255,14-04-2021 14:00,04-13-2021 22:00,14-04-2021 17:13,21,192,15,13,F,5,Violent Crime,2,No,,2021,Pune,ROBBERY,7345848,30.1
11254,11256,14-04-2021 22:00,04-13-2021 23:00,14-04-2021 19:17,2,250,11,36,M,5,Violent Crime,12,No,,2021,Bangalore,IDENTITY THEFT,14008262,25.6
11255,11257,16-04-2021 05:00,04-14-2021 00:00,14-04-2021 07:50,21,338,1,67,M,4,Violent Crime,6,No,,2021,Pune,ASSAULT,7345848,30.1
11256,11258,14-04-2021 08:00,04-14-2021 01:00,14-04-2021 06:08,13,162,4,73,F,5,Other Crime,10,Yes,26-05-2021 08:00,2021,Kolkata,CYBERCRIME,155707786,1.6
11257,11259,15-04-2021 07:00,04-14-2021 02:00,14-04-2021 23:09,24,575,10,48,M,1,Other Crime,15,Yes,30-05-2022 07:00,2021,Surat,HOMICIDE,8330528,13.3
11258,11260,14-04-2021 09:00,04-14-2021 03:00,14-04-2021 23:45,2,566,0,40,F,3,Fire Accident,5,Yes,04-05-2021 09:00,2021,Bangalore,ARSON,14008262,25.6
11259,11261,15-04-2021 14:00,04-14-2021 04:00,14-04-2021 15:14,8,571,0,61,M,5,Fire Accident,11,No,,2021,Hyderabad,ARSON,11068877,26.0
11260,11262,14-04-2021 07:00,04-14-2021 05:00,14-04-2021 07:39,16,334,15,16,F,1,Violent Crime,17,No,,2021,Meerut,ROBBERY,1835403,21.5
11261,11263,16-04-2021 08:00,04-14-2021 06:00,14-04-2021 20:02,5,219,7,21,M,4,Other Crime,2,Yes,23-04-2021 08:00,2021,Delhi,EXTORTION,33807403,16.0
11262,11264,16-04-2021 07:00,04-14-2021 07:00,14-04-2021 22:26,4,461,2,29,F,0,Other Crime,15,No,,2021,Chennai,BURGLARY,12053697,20.7
11263,11265,16-04-2021 13:00,04-14-2021 08:00,14-04-2021 15:06,5,188,12,71,M,3,Other Crime,18,No,,2021,Delhi,ILLEGAL POSSESSION,33807403,16.0
11264,11266,15-04-2021 19:00,04-14-2021 09:00,15-04-2021 08:59,21,153,15,78,F,6,Violent Crime,8,No,,2021,Pune,ROBBERY,7345848,30.1
11265,11267,15-04-2021 11:00,04-14-2021 10:00,14-04-2021 21:21,16,369,16,20,F,6,Violent Crime,16,Yes,05-04-2023 11:00,2021,Meerut,SEXUAL ASSAULT,1835403,21.5
11266,11268,15-04-2021 01:00,04-14-2021 11:00,15-04-2021 04:46,2,166,7,67,M,3,Other Crime,12,No,,2021,Bangalore,EXTORTION,14008262,25.6
11267,11269,17-04-2021 00:00,04-14-2021 12:00,15-04-2021 02:52,8,223,5,52,M,5,Violent Crime,9,Yes,25-06-2021 00:00,2021,Hyderabad,DOMESTIC VIOLENCE,11068877,26.0
11268,11270,15-04-2021 13:00,04-14-2021 13:00,14-04-2021 19:13,23,227,1,32,M,6,Violent Crime,5,No,,2021,Srinagar,ASSAULT,1737502,21.4
11269,11271,15-04-2021 10:00,04-14-2021 14:00,15-04-2021 01:06,21,167,19,32,M,4,Other Crime,6,No,,2021,Pune,VANDALISM,7345848,30.1
11270,11272,15-04-2021 18:00,04-14-2021 15:00,14-04-2021 21:33,15,506,7,36,M,5,Other Crime,3,Yes,13-07-2021 18:00,2021,Ludhiana,EXTORTION,1988438,38.3
11271,11273,16-04-2021 19:00,04-14-2021 16:00,15-04-2021 11:27,2,285,0,69,F,6,Fire Accident,18,No,,2021,Bangalore,ARSON,14008262,25.6
11272,11274,16-04-2021 16:00,04-14-2021 17:00,15-04-2021 15:27,17,303,8,64,F,6,Fire Accident,1,Yes,24-04-2021 16:00,2021,Mumbai,FIREARM OFFENSE,21673149,20.4
11273,11275,14-04-2021 21:00,04-14-2021 18:00,15-04-2021 00:49,16,376,6,23,M,6,Other Crime,1,No,,2021,Meerut,DRUG OFFENSE,1835403,21.5
11274,11276,17-04-2021 05:00,04-14-2021 19:00,15-04-2021 12:33,13,203,9,60,F,5,Other Crime,3,No,,2021,Kolkata,FRAUD,155707786,1.6
11275,11277,17-04-2021 16:00,04-14-2021 20:00,14-04-2021 22:08,2,592,19,48,F,5,Other Crime,10,Yes,22-05-2021 16:00,2021,Bangalore,VANDALISM,14008262,25.6
11276,11278,15-04-2021 21:00,04-14-2021 21:00,15-04-2021 14:57,1,312,13,27,F,2,Other Crime,11,No,,2021,Ahmedabad,KIDNAPPING,8854444,20.5
11277,11279,16-04-2021 20:00,04-14-2021 22:00,15-04-2021 18:08,21,567,12,58,F,2,Other Crime,7,Yes,07-05-2021 20:00,2021,Pune,ILLEGAL POSSESSION,7345848,30.1
11278,11280,15-04-2021 19:00,04-14-2021 23:00,15-04-2021 13:52,13,358,13,30,F,0,Other Crime,19,Yes,18-05-2021 19:00,2021,Kolkata,KIDNAPPING,155707786,1.6
11279,11281,17-04-2021 07:00,04-15-2021 00:00,15-04-2021 05:39,13,146,3,34,F,0,Other Crime,15,Yes,16-05-2021 07:00,2021,Kolkata,COUNTERFEITING,155707786,1.6
11280,11282,16-04-2021 00:00,04-15-2021 01:00,15-04-2021 22:06,10,231,7,60,F,1,Other Crime,18,No,,2021,Jaipur,EXTORTION,4308510,34.3
11281,11283,18-04-2021 01:00,04-15-2021 02:00,15-04-2021 11:06,8,107,19,38,F,1,Other Crime,5,No,,2021,Hyderabad,VANDALISM,11068877,26.0
11282,11284,15-04-2021 12:00,04-15-2021 03:00,15-04-2021 09:10,2,579,14,38,F,4,Other Crime,10,Yes,19-04-2021 12:00,2021,Bangalore,PUBLIC INTOXICATION,14008262,25.6
11283,11285,17-04-2021 17:00,04-15-2021 04:00,15-04-2021 06:33,10,558,5,47,F,5,Violent Crime,9,Yes,03-06-2021 17:00,2021,Jaipur,DOMESTIC VIOLENCE,4308510,34.3
11284,11286,16-04-2021 18:00,04-15-2021 05:00,15-04-2021 11:01,20,201,0,62,F,4,Fire Accident,17,Yes,19-05-2021 18:00,2021,Patna,ARSON,2633243,26.4
11285,11287,15-04-2021 16:00,04-15-2021 06:00,15-04-2021 06:40,17,168,2,15,M,2,Other Crime,14,Yes,07-09-2021 16:00,2021,Mumbai,BURGLARY,21673149,20.4
